actual_value,predicted_value
4.526,3.962599897535913
3.585,3.8933110266756366
3.521,3.5107308773816626
3.413,2.834490978304245
3.422,2.0834297706348637
2.697,2.1671316221150354
2.992,1.991834116398778
2.414,1.7631894956892398
2.267,1.3266264995191683
2.611,1.991477959844517
2.815,1.8047923632086684
2.418,1.816574789527573
2.135,1.7467983705551091
1.913,1.5996382994755485
1.592,1.259611555939025
1.4,1.3606292603894155
1.525,1.6297637363996842
1.555,1.361549273924404
1.587,1.2960164676539532
1.629,1.560497266820164
1.475,1.0478938214058942
1.598,1.1829944715524667
1.139,1.1834578718883149
0.997,1.3798536959353167
1.326,1.5506761913714189
1.075,1.4886467240922165
0.938,1.503801970532673
1.055,1.2166462519203434
1.089,1.1469120840526337
1.32,1.1871420477632117
1.223,1.271684414381709
1.152,1.278435884593827
1.104,1.2118988007918594
1.049,1.0450501121558355
1.097,1.5973233676664187
0.972,1.097422578777352
1.045,0.9216380912609097
1.039,1.0576300807555434
1.914,1.9270361679456065
1.76,1.535809736178497
1.554,1.3422291404397622
1.5,1.0124191462368533
1.188,0.9078883319930171
1.888,2.1364797060088367
1.844,1.7325948052617588
1.823,1.5901684728330625
1.425,1.3217918016184238
1.375,1.199303706133161
1.875,0.875775327171376
1.125,1.2144080932214691
1.719,0.8573771156483462
0.938,1.090167513660632
0.975,0.8987991429661748
1.042,0.9795918933612385
0.875,1.146174715931173
0.831,1.065474984299664
0.875,1.1034789189119865
0.853,0.8090082549130801
0.803,0.9696973020090414
0.6,1.5654114217466866
0.757,1.8936798456164612
0.75,3.0439719253771624
0.861,0.851555580723587
0.761,0.9694739024257056
0.735,1.5610474124625042
0.784,0.9622836040797034
0.844,0.8068366016261699
0.813,1.56048473210886
0.85,1.2549303493814512
1.292,0.850044712157675
0.825,1.220124758187913
0.952,0.7805349636468699
0.75,1.204030792565094
0.675,0.7084856012810099
1.375,1.519973452339023
1.775,0.8572967760350068
1.021,1.478868305414366
1.083,0.934863265031645
1.125,0.7966798151315538
1.313,1.3224573266593633
1.625,1.1030829420206505
1.125,0.976143620687002
1.125,1.1219425080276824
1.375,0.8205239663105595
1.188,1.2349277378011951
0.982,1.485775446809949
1.188,0.8826681868224803
1.625,0.7949482540990346
1.375,0.8954522154794884
5.00001,1.0032161823125163
1.625,1.3444600406909584
1.375,0.8301690622209745
1.625,0.8030839360337332
1.875,1.5721595110107482
1.792,1.222796120069562
1.3,1.232374416758289
1.838,1.6172032706291148
1.25,1.3238092122877647
1.7,0.9443429910151995
1.931,1.5299436933836237
2.578,1.4663268083476737
2.734,1.7632400338686418
2.375,1.7874829504703125
3.5,1.5437668460925806
3.357,1.6020594605090868
3.134,2.535625914958409
2.685,1.840005621284568
2.594,1.7969115567410046
2.757,2.081005496003599
2.25,2.0811516035921516
2.625,2.6033523497489686
2.185,1.5449183500471124
2.55,1.7068139096148365
2.241,1.7811369029222495
2.431,1.924954630885683
2.316,1.7918508338267207
2.185,1.431774225600244
2.341,1.7322955316935227
3.276,2.9130842231898324
3.476,2.6719900771958107
3.661,2.9583022663097296
3.35,2.563093899318043
3.736,3.1133019673078453
3.895,2.622546544126266
3.911,3.4909673446533014
3.373,2.713829486517115
2.952,3.5978612292855106
2.923,2.9696358416092936
4.115,3.603060831293673
3.115,3.0040869786608075
3.259,3.408700254359974
3.926,5.324577112139094
3.193,3.5910143500369545
3.333,3.3283590542035197
3.352,3.909059444572154
3.512,3.9874348394505144
3.689,3.33828690387697
3.659,3.950414566893873
3.667,3.4133450227652706
3.628,3.101198349639446
4.833,3.152421556762875
3.314,3.41871808168457
3.235,3.2976184040246697
2.167,1.6648386016976329
2.331,1.7524049696670754
2.964,2.669367551507853
2.737,3.1953763327193085
2.277,1.8245602159640681
1.996,1.7280709661512765
2.398,2.356988022127145
2.701,2.1734560982772777
3.021,2.6992880583797034
2.695,1.7907644900898123
3.147,2.4684542397413702
3.901,3.8713813231558536
4.103,4.176970849537702
3.524,3.332783613854147
2.873,2.996085553813281
3.487,3.604914932306631
2.438,1.613445472486093
2.115,1.400974975728883
2.184,1.7183633113345347
2.699,1.9995515333723524
2.188,1.800010309625216
2.25,1.669739797789227
2.5,1.348614124391922
1.714,1.1348752893322203
1.938,1.035659749679668
1.25,1.4261949176662834
0.975,1.1918031642675357
1.25,1.5785399140293181
1.388,1.37270803320832
1.167,1.376589036864454
1.518,1.1340294743871007
1.27,1.4211367488820281
1.286,1.3614951860265072
1.406,1.3541233308720846
1.827,1.5565214645927172
1.469,1.4656236063259596
1.228,1.6905555529728669
1.693,1.5039190204047337
1.266,1.2895221265625465
1.279,1.2607382297620995
1.235,1.3985724104435235
1.119,1.4683679002548553
1.128,1.2821330827550663
1.079,1.6731611990883495
1.375,1.252428643624722
1.055,1.354152814896989
0.955,1.3416905281212974
1.161,1.8843313686028607
1.122,1.3979117079528398
0.75,1.3679117070293585
1.125,1.1507517333087336
1.25,1.983422826213355
1.15,1.151136526111507
0.95,1.1681554668943903
0.964,1.5487244725550557
0.72,1.5482345922995489
0.713,1.5839111840400788
0.808,1.729256224295951
1.288,1.0702464047568723
1.125,1.2572812357500642
1.194,1.084863366853546
1.181,1.0801174686439816
1.225,1.3002241692112928
1.063,1.4273030287704775
1.325,1.3441246057129963
1.227,1.1579402214500125
1.133,1.0313919337575088
1.095,1.9328050262809282
1.647,2.059605181883321
1.25,1.7677201283792974
1.247,1.5331049424060819
1.367,1.5028893803108168
1.417,1.5987597110429421
1.5,1.648572783345223
1.388,1.7043950885905548
1.392,1.6340843789237127
1.438,1.6612655059985775
1.565,1.742708284867868
1.51,1.7436876948724247
2.73,2.5309397528516464
2.171,2.4660192185544734
1.871,1.8959483713534668
2.396,2.6086196224318865
2.297,2.190749757273558
2.573,2.4571264370900883
2.469,2.2565295582165157
1.799,1.7266536667235
1.696,2.217275326242456
2.033,2.071145074894475
2.634,2.1518461799052058
2.318,2.4075124761197553
1.405,1.6658296330826006
1.26,1.424721245140877
1.22,1.587856537377053
1.347,1.5502086561157644
1.394,1.457669318797617
1.154,1.6127747762973554
